COMMUNITY,year,hour,FIRST_CRASH_TYPE,crash_count
ALBANY PARK,2015,0,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,1,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,3,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,4,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,5,TURNING,1
ALBANY PARK,2015,6,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,7,REAR END,3
ALBANY PARK,2015,7,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,9,ANGLE,2
ALBANY PARK,2015,9,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,9,TURNING,1
ALBANY PARK,2015,11,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,12,TURNING,1
ALBANY PARK,2015,13,REAR END,1
ALBANY PARK,2015,13,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2015,13,TURNING,1
ALBANY PARK,2015,14,REAR END,1
ALBANY PARK,2015,14,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,15,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,15,REAR END,1
ALBANY PARK,2015,15,TURNING,1
ALBANY PARK,2015,16,ANGLE,1
ALBANY PARK,2015,16,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,16,PEDESTRIAN,1
ALBANY PARK,2015,16,REAR END,3
ALBANY PARK,2015,16,SIDESWIPE SAME DIRECTION,3
ALBANY PARK,2015,17,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,17,TURNING,5
ALBANY PARK,2015,18,REAR END,1
ALBANY PARK,2015,19,PARKED MOTOR VEHICLE,2
ALBANY PARK,2015,19,REAR END,1
ALBANY PARK,2015,19,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,20,ANGLE,2
ALBANY PARK,2015,20,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,20,PEDESTRIAN,1
ALBANY PARK,2015,20,TURNING,1
ALBANY PARK,2015,21,ANGLE,1
ALBANY PARK,2015,22,ANGLE,2
ALBANY PARK,2015,22,PARKED MOTOR VEHICLE,1
ALBANY PARK,2015,23,REAR END,2
ALBANY PARK,2015,23,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2015,23,TURNING,1
ALBANY PARK,2016,0,PARKED MOTOR VEHICLE,2
ALBANY PARK,2016,0,REAR END,4
ALBANY PARK,2016,1,PARKED MOTOR VEHICLE,1
ALBANY PARK,2016,2,ANGLE,1
ALBANY PARK,2016,2,PARKED MOTOR VEHICLE,2
ALBANY PARK,2016,2,REAR END,1
ALBANY PARK,2016,3,PEDESTRIAN,1
ALBANY PARK,2016,4,REAR END,1
ALBANY PARK,2016,5,PARKED MOTOR VEHICLE,3
ALBANY PARK,2016,5,REAR END,3
ALBANY PARK,2016,6,ANGLE,2
ALBANY PARK,2016,6,PARKED MOTOR VEHICLE,1
ALBANY PARK,2016,6,PEDESTRIAN,1
ALBANY PARK,2016,6,REAR END,1
ALBANY PARK,2016,6,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2016,7,REAR END,3
ALBANY PARK,2016,7,TURNING,1
ALBANY PARK,2016,8,ANGLE,2
ALBANY PARK,2016,8,FIXED OBJECT,1
ALBANY PARK,2016,8,PARKED MOTOR VEHICLE,5
ALBANY PARK,2016,8,REAR END,3
ALBANY PARK,2016,8,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2016,9,ANGLE,2
ALBANY PARK,2016,9,PARKED MOTOR VEHICLE,4
ALBANY PARK,2016,9,REAR END,1
ALBANY PARK,2016,9,TURNING,2
ALBANY PARK,2016,10,PARKED MOTOR VEHICLE,2
ALBANY PARK,2016,10,REAR END,2
ALBANY PARK,2016,10,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2016,10,TURNING,2
ALBANY PARK,2016,11,ANGLE,2
ALBANY PARK,2016,11,PARKED MOTOR VEHICLE,4
ALBANY PARK,2016,11,PEDALCYCLIST,1
ALBANY PARK,2016,11,PEDESTRIAN,1
ALBANY PARK,2016,11,REAR END,3
ALBANY PARK,2016,11,SIDESWIPE SAME DIRECTION,1
ALBANY PARK,2016,11,TURNING,3
ALBANY PARK,2016,12,ANGLE,1
ALBANY PARK,2016,12,PARKED MOTOR VEHICLE,6
ALBANY PARK,2016,12,REAR END,2
ALBANY PARK,2016,12,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2016,12,SIDESWIPE SAME DIRECTION,2
ALBANY PARK,2016,12,TURNING,1
ALBANY PARK,2016,13,ANGLE,7
ALBANY PARK,2016,13,HEAD ON,1
ALBANY PARK,2016,13,OTHER OBJECT,1
ALBANY PARK,2016,13,PARKED MOTOR VEHICLE,9
ALBANY PARK,2016,13,REAR END,13
ALBANY PARK,2016,13,SIDESWIPE SAME DIRECTION,5
ALBANY PARK,2016,13,TURNING,5
ALBANY PARK,2016,14,ANGLE,4
ALBANY PARK,2016,14,HEAD ON,1
ALBANY PARK,2016,14,PARKED MOTOR VEHICLE,6
ALBANY PARK,2016,14,PEDALCYCLIST,2
ALBANY PARK,2016,14,PEDESTRIAN,1
ALBANY PARK,2016,14,REAR END,10
ALBANY PARK,2016,14,SIDESWIPE OPPOSITE DIRECTION,1
ALBANY PARK,2016,14,SIDESWIPE SAME DIRECTION,4
ALBANY PARK,2016,14,TURNING,3
ALBANY PARK,2016,15,ANGLE,5
ALBANY PARK,2016,15,HEAD ON,2
ALBANY PARK,2016,15,PARKED MOTOR VEHICLE,6
